Area,Category,Item,Description,Date,Orders,Type of Order
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,09-07-2022,100,Dining
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,20-06-2023,195,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,09-09-2023,91,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,25-11-2021,98,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",24-08-2023,180,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,13-01-2022,60,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,11-01-2023,11,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",18-04-2022,125,Takeaway
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,17-11-2021,20,Online
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,08-07-2022,179,Dining
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",15-04-2022,113,Online
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,01-06-2022,146,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",28-08-2023,128,Takeaway
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",06-07-2023,128,Dining
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",11-05-2022,79,Dining
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",02-11-2022,112,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,12-05-2023,149,Dining
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,09-11-2022,166,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",05-02-2022,42,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",07-07-2023,164,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,28-09-2023,189,Dining
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,05-06-2023,147,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,27-04-2022,153,Dining
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,10-10-2023,197,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",24-05-2022,135,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,04-04-2022,197,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,14-04-2023,113,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,28-08-2023,117,Dining
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,09-08-2023,3,Takeaway
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,15-01-2022,166,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,17-06-2022,88,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",07-08-2022,138,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",11-11-2021,33,Online
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",01-02-2022,198,Online
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",19-04-2023,40,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",24-02-2022,191,Dining
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",26-05-2022,173,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",07-04-2023,127,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,17-01-2022,117,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,20-02-2022,67,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",19-11-2022,130,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",20-07-2022,126,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,23-10-2022,100,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",14-02-2022,200,Takeaway
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",30-01-2023,158,Dining
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,26-09-2023,189,Online
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,17-01-2023,108,Dining
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,14-07-2023,7,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",13-02-2022,171,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,26-02-2023,163,Online
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",01-12-2022,9,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,28-09-2022,66,Dining
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,02-03-2022,63,Takeaway
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,04-01-2023,173,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,15-02-2022,157,Takeaway
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,23-05-2023,116,Online
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,27-02-2023,177,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",04-02-2022,3,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,02-12-2022,113,Dining
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,05-07-2023,116,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",03-07-2023,16,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,27-04-2023,72,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,26-01-2022,141,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",09-06-2023,2,Takeaway
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,29-01-2022,107,Online
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,14-12-2022,134,Takeaway
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",09-04-2023,175,Dining
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,12-09-2022,159,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,01-03-2023,145,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,07-10-2022,181,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",31-10-2022,46,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,29-01-2022,171,Online
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",28-05-2023,64,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,29-09-2023,148,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",18-09-2023,64,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",04-06-2023,174,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",15-11-2021,188,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,17-08-2022,109,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",05-07-2022,2,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,16-08-2023,38,Online
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,24-03-2023,108,Takeaway
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",02-07-2022,75,Online
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,15-10-2022,110,Dining
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,13-04-2023,77,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,19-08-2022,194,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,05-01-2022,87,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,04-01-2022,75,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,18-06-2023,27,Takeaway
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,08-08-2023,197,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,29-01-2022,54,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,18-03-2022,35,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,09-09-2023,38,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,23-04-2023,3,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",04-08-2023,111,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,24-05-2022,42,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,01-04-2023,35,Dining
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,20-05-2023,10,Online
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",05-01-2022,143,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",04-09-2022,114,Dining
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",27-10-2022,143,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,15-11-2022,33,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",16-10-2022,196,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,17-10-2022,86,Online
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,14-06-2023,50,Online
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",29-01-2022,86,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,09-07-2022,32,Dining
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",19-04-2022,146,Dining
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,22-07-2023,191,Dining
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,08-12-2021,185,Online
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,24-03-2023,107,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,12-10-2022,65,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,29-04-2023,150,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,03-03-2022,38,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",15-04-2022,3,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,04-05-2022,197,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,28-11-2021,20,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,18-09-2023,84,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,08-03-2023,118,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,26-09-2022,130,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,17-05-2022,37,Online
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,02-10-2022,195,Dining
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,26-09-2023,61,Dining
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,25-08-2022,129,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,12-06-2023,139,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,18-09-2022,190,Online
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,20-10-2022,71,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",18-03-2023,195,Online
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,07-04-2023,32,Online
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,14-04-2023,17,Dining
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",22-07-2022,116,Takeaway
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",12-12-2021,119,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",16-11-2022,13,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,13-04-2022,109,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",25-05-2022,78,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,18-12-2022,135,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",29-11-2022,105,Takeaway
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",11-06-2022,105,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,08-11-2021,43,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,27-10-2023,163,Takeaway
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,15-08-2023,26,Online
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,16-01-2023,3,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,27-02-2022,162,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,27-05-2023,162,Online
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",22-04-2023,148,Takeaway
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",01-11-2022,103,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,18-08-2022,159,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",18-02-2022,98,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,15-08-2022,176,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",26-06-2023,75,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,10-12-2022,94,Takeaway
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,18-06-2023,74,Dining
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",08-06-2022,73,Takeaway
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,27-03-2023,93,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,08-02-2023,57,Online
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,22-10-2022,43,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,28-12-2021,180,Dining
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,16-12-2021,173,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,19-08-2022,14,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",17-01-2023,5,Takeaway
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,17-05-2022,78,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,16-09-2023,143,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,03-02-2023,115,Takeaway
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",03-05-2022,115,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,28-07-2023,47,Online
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,10-01-2023,34,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,31-05-2022,153,Takeaway
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",25-11-2021,11,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",04-09-2023,71,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,17-06-2023,3,Takeaway
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",13-06-2023,31,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,17-02-2022,103,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,06-04-2023,176,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,08-10-2023,123,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",09-01-2023,62,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,12-06-2023,135,Online
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",29-10-2022,7,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",23-06-2023,127,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,19-01-2022,73,Dining
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,28-02-2023,62,Online
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,15-07-2022,149,Online
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,17-03-2023,147,Takeaway
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",08-12-2022,81,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,30-03-2023,24,Takeaway
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",18-06-2022,122,Takeaway
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,03-03-2023,56,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,10-05-2023,15,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,09-06-2022,70,Dining
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,06-07-2023,10,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,28-03-2022,118,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,12-12-2021,71,Takeaway
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,14-07-2022,166,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,30-03-2023,108,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",15-02-2022,80,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",01-07-2022,194,Dining
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,18-08-2023,179,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,18-01-2022,124,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,14-10-2022,149,Takeaway
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,04-04-2023,193,Takeaway
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,05-09-2022,156,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",16-07-2022,159,Takeaway
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",19-05-2023,5,Dining
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",01-07-2023,99,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,10-07-2023,128,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,14-10-2022,48,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,24-11-2022,27,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",22-06-2022,148,Online
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,19-02-2022,54,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",14-03-2023,35,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,25-12-2021,53,Online
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,30-07-2022,166,Takeaway
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,06-06-2023,61,Takeaway
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",04-12-2022,164,Takeaway
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,24-12-2022,64,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,31-03-2023,86,Dining
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",05-03-2022,160,Dining
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,08-10-2023,144,Takeaway
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,23-10-2022,89,Dining
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,09-04-2022,102,Online
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",30-09-2023,197,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,31-12-2021,88,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",17-05-2022,63,Dining
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,09-02-2022,86,Takeaway
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,17-04-2022,132,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",21-02-2022,20,Takeaway
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",27-05-2022,116,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,30-09-2022,62,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,12-05-2022,57,Dining
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,06-04-2022,192,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,19-03-2022,30,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,11-04-2023,128,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,30-06-2023,102,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",02-08-2022,137,Takeaway
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,17-03-2023,151,Online
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,27-01-2023,13,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,19-12-2022,110,Takeaway
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",26-12-2022,33,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",31-03-2023,56,Dining
